% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=190360, Sun Mar 22 16:15:38 2015
1 8 0.0912167999839 1.0000400008 34184.7065699 3.4184706569884103e+04 115526.141864 182267.290809   
2 16 0.0825414057237 1.15867799015 14318.8191779 1.4318819177940735e+04 52675.8465381 90003.2739628   
3 24 0.0821098044525 1.20152545894 12066.7783928 1.2066778392783070e+04 53301.7688967 109952.729722   
4 32 0.0709803933098 1.28451399641 8574.40216121 8.5744021612070010e+03 42574.9382354 89210.0312507   
5 40 0.0664094562231 1.33618540189 8574.40216121 1.3571651708678528e+04 37422.9499097 71769.551921   
6 48 0.0628396205973 1.33349361847 8574.40216121 1.6222786650585365e+04 34572.9761344 42648.3695019   
7 56 0.0588140590334 1.38586077751 8574.40216121 8.8367380651223848e+03 30268.0373862 51567.9716967   
8 64 0.0622241387794 1.52441955221 3505.42585951 3.5054258595149968e+03 18568.2577827 43333.0978675   
9 72 0.0620708553243 1.5550346993 3505.42585951 4.0977344104773201e+03 19723.5344652 45660.3541727   
10 80 0.0550081664781 1.47600488455 3379.27536853 3.3792753685346929e+03 26605.8746279 69752.0046853   
11 88 0.0485244636581 1.40380492016 2919.38688493 2.9193868849330206e+03 5556.86354099 46287.6818798   
12 96 0.0432127412862 1.38668691309 2659.07892345 2.6590789234522576e+03 11180.6943213 23406.3590585   
13 104 0.0361704893904 1.37077878433 802.974887935 8.0297488793537048e+02 3434.82721547 11415.2965988   
14 112 0.0323901270406 1.42862527105 784.188537454 7.8418853745445108e+02 3352.58565225 12584.0131564   
15 120 0.0298674035595 1.43944499523 784.188537454 1.5686757784057613e+03 2357.89552891 4025.24654058   
16 128 0.0276582067148 1.40182888289 784.188537454 1.1573635107948455e+03 3206.02245742 6406.46898541   
17 136 0.0243506421199 1.42991296146 480.806560786 4.8080656078626225e+02 1932.1027016 5060.92462287   
18 144 0.0207399968731 1.49634269604 318.020912863 3.1802091286302129e+02 1440.06795215 2417.64789569   
19 152 0.0170506718078 1.51001191771 162.97333391 1.6297333390996920e+02 1086.81046641 1460.88891165   
20 160 0.0141743725566 1.49998881609 57.0239895422 5.7023989542234780e+01 408.705363959 558.217083402   
21 168 0.0113161215511 1.53549882322 57.0239895422 1.0364010632771226e+02 387.090679622 508.579175301   
22 176 0.0101199259755 1.61382311054 36.9784602283 3.6978460228290729e+01 264.271143152 342.181134571   
